식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
낙지무침,생채·무침류,낙지무침,100ml,59,9.6,0.37,4.5,150ml
낙지무침,생채·무침류,낙지무침,100ml,59,9.6,0.37,4.5,150ml
낙지무침,생채·무침류,낙지무침,100g,77,12.41,1.24,3.96,180g
낙지볶음,볶음류,낙지볶음,100g,91,5.77,3.77,8.6,200g
낙지볶음,볶음류,낙지볶음,100ml,73,6.9,2.54,5.93,251.6
낙지볶음,볶음류,낙지볶음,100ml,136,12.6,4.79,11.29,80.5
낙지볶음,볶음류,낙지볶음,100ml,74,6.2,2.24,7.79,256ml
낙지볶음,볶음류,낙지볶음,100ml,136,12.6,4.79,11.29,80.5
낙지볶음_떡,볶음류,낙지볶음,100ml,105,16.1,0.75,8.21,110ml
낙지볶음_채소,볶음류,낙지볶음,100ml,67,5.42,1.59,8.11,140ml
낙지전골,찌개 및 전골류,낙지전골,100g,51,6.5,1.14,3.72,300g
꽈리고추볶음_잔멸치,볶음류,꽈리고추볶음,100ml,64,7.6,2.23,3.1,70ml
꽈리고추볶음_잔멸치_호두,볶음류,꽈리고추볶음,100ml,72,6.5,3.21,4.34,110ml
꽈리고추볶음_잔멸치_호두,볶음류,꽈리고추볶음,100ml,72,6.5,3.21,4.34,110ml
꽈리고추조림_멸치,조림류,꽈리고추조림,100ml,57,7.1,1.21,4.7,80ml
꽈리고추찜,찜류,꽈리고추찜,100ml,36,1.3,0.68,6.55,110ml
꽈리고추찜,찜류,꽈리고추찜,100ml,41,1.48,0.76,7.51,100ml
꽈리고추찜,찜류,꽈리고추찜,100g,104,3.59,2.09,17.69,100g
꿀떡,빵 및 과자류,꿀떡,100g,228,3.74,1.73,49.48,100g
꿀차_꿀과실차 대추,음료 및 차류,꿀차,100g,22,0,,,355g
꿀차_꿀과실차 레몬,음료 및 차류,꿀차,100g,21,0,,,355g
꿀차_꿀과실차 모과,음료 및 차류,꿀차,100g,22,0,,,355g
꿀차_꿀과실차 생강,음료 및 차류,꿀차,100g,23,0,,,355g
꿀차_꿀과실차 유자,음료 및 차류,꿀차,100g,21,0,,,355g
꿀차_꿀과실차 자몽,음료 및 차류,꿀차,100g,22,0.08,,,355g
꿩불고기,구이류,꿩불고기,100g,74,6.7,1.7,7.94,500g
나박김치,김치류,나박김치,100g,10,0.46,0.38,1.15,100g
나베_간편조리세트_통등심가스나베,찌개 및 전골류,나베,100g,170,5.41,9.52,15.71,1166g
나폴리탄 스파게티,면 및 만두류,나폴리탄 스파게티,100ml,116,3.6,1.38,22.5,360ml
꽃게 매운탕,찌개 및 전골류,꽃게 매운탕,100ml,31,5.7,0.27,1.3,232.9
꽃게장_간장,젓갈류,꽃게장,100g,62,7.02,1.1,6.04,250g
꽃게장_양념,젓갈류,꽃게장,100ml,98,12.7,1.31,9.66,50.9
꽃게장_양념,젓갈류,꽃게장,100g,97,10.23,0.61,12.61,200g
꽃게찜,찜류,꽃게찜,100ml,52,5.9,1.33,5.1,800ml
꽃게콩나물찜,찜류,꽃게콩나물찜,100ml,52,5.86,1.34,5.1,800ml
꽃게탕,찌개 및 전골류,꽃게탕,100ml,31,4.9,0.28,2.12,296ml
꽃게탕,찌개 및 전골류,꽃게탕,100ml,23,3.1,0.41,1.83,809.1
꽃게탕,찌개 및 전골류,꽃게탕,100ml,18,2.3,0.29,1.65,200ml
꽃게탕,찌개 및 전골류,꽃게탕,100ml,23,2.8,0.41,2.25,230ml
꽃게탕,찌개 및 전골류,꽃게탕,100g,17,1.86,0.41,1.44,600g
꽃게탕_간편조리세트_3마리꽃게탕,찌개 및 전골류,꽃게탕,100g,26,2.58,0.62,2.47,1226g
꽈리고추 오징어조림,조림류,꽈리고추 오징어조림,100ml,135,14.3,5.67,6.39,87.7
꽈리고추볶음,볶음류,꽈리고추볶음,100ml,145,2.4,9.86,12.59,78.6
꽈리고추볶음,볶음류,꽈리고추볶음,100ml,145,2.4,9.86,12.59,78.6
꽈리고추볶음_멸치,볶음류,꽈리고추볶음,100ml,79,8,2.74,5.6,90ml
꽈리고추볶음_잔멸치,볶음류,꽈리고추볶음,100ml,152,12.2,6.33,11.91,40.6
꽈리고추볶음_잔멸치,볶음류,꽈리고추볶음,100ml,154,12.3,6.44,11.94,73ml
꼬치구치_낙지,전·적 및 부침류,꼬치구치,100g,94,16.43,1.59,3.53,80g
꽁치구이,구이류,꽁치구이,100ml,215,25.4,10.72,2.18,54.2
꽁치구이,구이류,꽁치구이,100ml,196,21.64,10.1,2.81,100ml
꽁치구이,구이류,꽁치구이,100ml,80,9.39,3.97,0.79,205ml
꽁치조림,조림류,꽁치조림,100g,244,15.52,17.87,5.14,100g
꽁치조림,조림류,꽁치조림,100ml,129,18,3.57,4.25,78.7
꽁치조림,조림류,꽁치조림,100ml,131,18.1,3.58,4.51,78.7
꽁치조림_김치,조림류,꽁치조림,100ml,61,6,2.63,3.57,80ml
꽁치조림_무,조림류,꽁치조림,100ml,83,9.1,2.54,5.73,95ml
꽁치조림_무,조림류,꽁치조림,100ml,83,9.1,2.54,5.73,95ml
꽁치조림_배추김치,조림류,꽁치조림,100ml,81,7.25,3.25,5.52,160ml
꽁치조림_배추김치,조림류,꽁치조림,100ml,88,10.29,2.52,5.79,210ml
꽁치조림_채소,조림류,꽁치조림,100ml,88,10.59,2.6,5.36,220ml
꽁치조림_채소,조림류,꽁치조림,100ml,72,8.85,1.9,4.75,190ml
꽁치찌개,찌개 및 전골류,꽁치찌개,100g,118,8,7.77,4.07,300g
꽁치찌개_김치,찌개 및 전골류,꽁치찌개,100ml,60,6.2,2.6,2.86,240ml
꽁치튀김,튀김류,꽁치튀김,100ml,105,5.3,7.84,2.41,100ml
꽁치튀김,튀김류,꽁치튀김,100ml,105,5.3,7.84,2.39,100ml
깻잎튀김,튀김류,깻잎튀김,100ml,191,5.4,10.76,17.33,32.8
깻잎튀김,튀김류,깻잎튀김,100ml,191,5.4,10.76,17.33,32.8
껍질콩볶음_맛살,볶음류,껍질콩볶음,100ml,98,3.3,5.08,9.35,150ml
꼬리곰탕,국 및 탕류,꼬리곰탕,100ml,113,6.9,6.15,6.99,217.6
꼬리곰탕,국 및 탕류,꼬리곰탕,100ml,40,2.3,2.17,2.29,800ml
꼬리곰탕_당면,국 및 탕류,꼬리곰탕,100ml,67,3.9,4.11,2.96,585ml
꼬막무침,찜류,꼬막무침,100g,107,8.34,4.72,7.69,100g
꼬막찜,찜류,꼬막찜,100g,96,12.03,2.28,6.97,200g
꼬막찜,찜류,꼬막찜,100ml,121,13.3,2.13,12.33,98.9
꼬막찜,찜류,꼬막찜,100ml,30,4.01,0.54,2.19,100ml
꼬막찜_참꼬막,찜류,꼬막찜,100g,113,15.59,3.13,5.74,80g
꼬치구이_닭고기,구이류,꼬치구이,100ml,115,23.4,1.36,0.75,240ml
꼬치구이_닭고기,구이류,꼬치구이,100g,252,16.52,12.24,19.07,70g
꼬치구이_닭고기,구이류,꼬치구이,100ml,115,23.4,1.36,0.75,240ml
꼬치구이_닭고기,구이류,꼬치구이,100ml,115,23.4,1.36,0.75,240ml
꼬치구이_닭고기_대파,구이류,꼬치구이,100g,245,17.85,14.7,10.35,170g
꼬치구이_닭모래집_간장,구이류,꼬치구이,100ml,160,27.8,2.29,5.58,75ml
